Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,AudioJack3_Switch,Jack_6.35mm_HOOYA_PJ-609AE_Horizontal,178.855,-9.72,90.0,top
J4,AudioJack3_Switch,Jack_6.35mm_HOOYA_PJ-609AE_Horizontal,209.855,-9.72,90.0,top
J5,USB_B,USB_B_Lumberg_2411_02_Horizontal,54.84,-9.4575,180.0,top
J6,FT232,PinSocket_1x06_P2.54mm_Vertical,76.637,-79.76975,90.0,top
J7,Control_Up,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,12.312,-109.11725,-90.0,top
J8,Display,IDC-Header_2x08_P2.54mm_Vertical_Mirrored,64.5395,-123.26725,-90.0,top
J9,Keyboard,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,188.8625,-139.93,0.0,top
J10,Control_Down,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,12.312,-148.48725,-90.0,top
L1,10u,L_0805_2012Metric,38.347,-119.30975,90.0,top
OC1,6N139,DIP-8_W7.62mm,69.9595,-58.50725,180.0,top
PS1,IA0505S-2W,IA0505S-2W,20.27,-44.0,0.0,top
PS2,IB0503LSY-1WR1,IB0503LSY,15.19,-57.0175,0.0,top
Q1,BC858B,SOT-23,219.002,-130.596,270.0,top
R1,33,R_0603_1608Metric,54.27525,-18.0825,90.0,top
R2,33,R_0603_1608Metric,55.86275,-18.0825,90.0,top
R3,10k,R_0805_2012Metric,147.44,-22.72625,180.0,top
R4,47k,R_0805_2012Metric,155.0595,-22.72625,0.0,top
R5,1k,R_0805_2012Metric,141.09,-26.53625,-90.0,top
R6,2k2,R_0805_2012Metric,144.265,-26.53625,-90.0,top
R7,330,R_0805_2012Metric,158.235,-26.53625,-90.0,top
R8,1k,R_0805_2012Metric,141.09,-30.98125,90.0,top
R9,2k2,R_0805_2012Metric,144.265,-30.98125,90.0,top
R10,330,R_0805_2012Metric,158.235,-30.98125,90.0,top
R11,10k,R_0805_2012Metric,147.44,-34.79125,180.0,top
R12,47k,R_0805_2012Metric,157.3225,-34.6325,0.0,top
R13,56k,R_0805_2012Metric,123.6945,-40.92725,-90.0,top
R14,82k,R_0805_2012Metric,127.02825,-40.92725,-90.0,top
R15,47k,R_0805_2012Metric,168.7795,-40.92725,-90.0,top
R16,120k,R_0805_2012Metric,171.9545,-40.92725,-90.0,top
R17,33k,R_0805_2012Metric,205.292,-40.92725,-90.0,top
R18,82k,R_0805_2012Metric,115.122,-42.51475,90.0,top
R19,56k,R_0805_2012Metric,135.442,-42.51475,90.0,top
